HH1,HH2,HH3,HH4,HH5D,HH5M,HH5Y,HH6,HH7,HH9,HH10,HH11,HH12,HH13,HH14,HH15,HH16,TOHL6,TOHL7,TOHL8,WS1,WS2,WS3,WS4,WS5,WS6A,WS6B,WS6C,WS6D,WS6E,WS6F,WS6X,WS6Z,WS7,WS8,WS9,HC2,HC3,HC4,HC5,HC6,HC7,HC7A,HC8,HC9A,HC9B,HC9C,HC9D,HC9E,HC9F,HC10A,HC10B,HC10C,HC10D,HC10E,HC10F,CD7,CD9,CD11,CD12A,CD12B,CD12C,CD12D,CD12E,CD12F,CD12G,CD12H,CD12I,CD12J,CD12K,CD13,SI1,hhweight,wlthscor,wlthind5,helevel,hhsex
60,46,4,1,2,12,2005,2,48,1,1,1,0,0,0,0,1,0,0,0,21, ,10,2,2, , , , , , , , ,13,2, ,1,21,33,32,1, , ,1,1,2,1,2,2,1,2,1,2,2,2,2, , , , , , , , , , , , , , , ,1,1.446649104,1.14228912265834,1,3,1
34,60,1,1,24,11,2005,1,23,2, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, , 
35,60,3,1,27,11,2005,1,23,1,1,3,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,35,35,31,3, , ,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,2,1,2,1,2,2,2,2,2,2,2,2,3,.101354255,-1.0287412734961,5,3,2
36,60,4,1,24,11,2005,1,23,1,1,2,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,1,31,33,31,3, , ,1,1,2,1,2,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,1,.080600882,-.463754119930778,3,3,2
37,60,5,1,5,12,2005,2,23,1,3,4,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , ,F, , ,11,2, ,2,21,33,33,3, , ,1,1,2,1,1,2,1,1,2,2,2,1,2, , , , , , , , , , , , , , , ,1,.112143249,-.0757218929761751,2,3,1
13,59,1,1,28,11,2005,1,12,3, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, , 
14,59,2,1,25,11,2005,1,12,1,1,1,0,0,0,0,3,0,0,0,11, , , ,1,A, , , , , , , ,11,2, ,1,35,35,34,3, , ,1,1,1,1,2,1,1,2,2,2,2,2,2, , , , , , , , , , , , , , , ,1,2.189220638,-.990134538481703,5,3,2
15,59,5,1,2,12,2005,1,12,1,1,2,1,1,0,0,1,1,0,0,11, , , ,1,A, , , , ,F,X, ,11,2, ,2,35,35,34,3, , ,1,1,2,1,1,1,1,1,1,2,2,2,2, , , , , , , , , , , , , , , ,3,2.972370999,-1.02490751829317,5,4,2
16,59,6,1,27,11,2005,1,12,1,1,2,1,1,0,0,4,1,0,0,11, , , ,2, , , , , , , , ,11,2, ,2,35,33,33,3, , ,1,1,2,1,2,2,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,6,1.81613449,-.304798708650109,3,3,1
17,59,7,1,2,12,2005,1,12,1,2,6,1,1,0,0,2,1,2,0,11, , , ,1,A, , , , ,F,X, ,11,2, ,2,35,35,34,3, , ,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,5,2,1,2,2,2,2,2,2,2,2,2,2,3,1.690404258,-1.05022060313584,5,3,1
18,59,8,1,4,12,2005,1,12,1,1,1,0,0,0,0,3,0,0,0,11, , , ,1,A, , ,D, , , , ,11,2, ,1,35,35,34,3, , ,1,1,2,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , , , , , , ,3,1.640713622,-1.11639080878805,5,4,2
34,59,2,1,24,11,2005,1,23,1,1,4,1,1,1,1,1,1,0,1,11, , , ,1,A, , , , , , , ,11,2, ,2,31,35,33,3, , ,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,4,2,1,2,1,2,2,2,2,2,2,2,2,1,.260982731,-.844434982207338,4,4,2
