Oblast,anx,ied,aff,alc,any,all_corrupt,econ_bad,air_concern,PerCapitaGDP,GDP,ukr,med_no,our_ukr,rel_veryimp,certainly10,Population,date,NAME_1
Cherkasy,3,1,13,7,18,0.311111111111111,0.422222222222222,0.184210526315789,4853,6.623e+09,0.911111111111111,0.359477124183007,0.285,0.315789473684211,0.0133333333333333,1359089,2004,Cherkasy
Chernihiv,1,1,13,7,17,0.363636363636364,0.409090909090909,0.0555555555555556,5163,6.181e+09,0.272727272727273,0.193548387096774,0.416666666666667,0.305555555555556,0,1189816,2004,Chernihiv
Chernivtsi,6,5,13,7,22,0.372093023255814,0.418604651162791,0.32,3589,3.277e+09,0.627906976744186,0.623655913978495,0.2825,0.4,0.125,912065,2004,Chernivtsi
Crimea,10,10,28,15,41,0.384615384615385,0.358974358974359,0.0967741935483871,5102.58452603544,9.901e+09,0,0.355140186915888,0.065,0.17741935483871,0.154545454545455,2374091,2004,Crimea
Dnipropetrovs'k,19,5,33,20,61,0.272,0.2,0.25531914893617,8609,3.004e+10,0.456,0.174757281553398,0.0808314087759815,0.202127659574468,0.106951871657754,3479157,2004,Dnipropetrovs'k
Donets'k,8,9,39,25,65,0.620481927710844,0.469879518072289,0.340740740740741,9713,4.5617e+10,0.168674698795181,0.317333333333333,0.0363924050632911,0.0518518518518519,0.0610328638497653,4676929,2004,Donets'k
Ivano-Frankivs'k,4,10,19,16,40,0.511111111111111,0.177777777777778,0.194444444444444,5238,7.311e+09,0.977777777777778,0.24390243902439,0.758812615955473,0.75,0,1394332,2004,Ivano-Frankivs'k
Kharkiv,85,9,151,25,193,0.613207547169811,0.60377358490566,0.162162162162162,7182,2.0524e+10,0.264150943396226,0.384892086330935,0.0646725949878739,0.0945945945945946,0.0846153846153846,2850164,2004,Kharkiv
Kherson,2,2,3,3,5,0.515151515151515,0.575757575757576,0.32258064516129,4546,5.2e+09,0.212121212121212,0.225806451612903,0.105911330049261,0,0.0178571428571429,1139548,2004,Kherson
Khmel'nyts'kyy,5,4,23,5,29,0.519230769230769,0.769230769230769,0.166666666666667,4549,6.344e+09,0.865384615384615,0.139344262295082,0.384133611691023,0.25,0.0909090909090909,1389641,2004,Khmel'nyts'kyy
Kiev,17,8,45,18,65,0.551724137931035,0.586206896551724,0.244897959183673,6652,1.1883e+10,0.741379310344828,0.354838709677419,0.303370786516854,0.285714285714286,0.2,1780785,2004,Kiev
Kiev City,18,16,42,15,61,0.510869565217391,0.195652173913043,0.171875,23130,6.1357e+10,0.391304347826087,0.19047619047619,0.272138228941685,0.1875,0.124031007751938,2662044,2004,Kiev City
Kirovohrad,12,6,21,12,36,0.651162790697675,0.86046511627907,0.4375,5122,5.594e+09,0.697674418604651,0.304347826086957,0.100227790432802,0.21875,0.0350877192982456,1085709,2004,Kirovohrad
L'viv,11,8,23,12,40,0.35,0.4125,0.3,5396,1.3992e+10,0.925,0.123809523809524,0.643090315560392,0.642857142857143,0.099236641221374,2589633,2004,L'viv
Luhans'k,13,6,34,16,49,0.358695652173913,0.576086956521739,0.166666666666667,5973,1.4672e+10,0.228260869565217,0.192307692307692,0.0490677134445535,0.0303030303030303,0.0353982300884956,2443514,2004,Luhans'k
Mykolayiv,19,5,10,18,37,0.51063829787234,0.553191489361702,0,6424,7.934e+09,0.425531914893617,0.360655737704918,0.0817941952506596,0.0909090909090909,0.0816326530612245,1230944,2004,Mykolayiv
Odessa,15,9,23,17,42,0.561643835616438,0.26027397260274,0.121212121212121,7028,1.7029e+10,0.301369863013699,0.229508196721311,0.0796359499431172,0.196969696969697,0.0530973451327434,2416791,2004,Odessa
Poltava,4,1,29,3,32,0.296296296296296,0.203703703703704,0.0909090909090909,8841,1.3983e+10,0.611111111111111,0.225806451612903,0.25,0.0909090909090909,0.08,1574323,2004,Poltava
Rivne,3,0,4,4,9,0.521739130434783,0.673913043478261,0.166666666666667,4817,5.599e+09,1,0.0879120879120879,0.497524752475248,0.4,0.0357142857142857,1161335,2004,Rivne
Sevastopol',10,10,28,15,41,0.384615384615385,0.358974358974359,0.0967741935483871,5102.58452603544,2.213e+09,0,0.355140186915888,0.065,0.17741935483871,0.154545454545455,2752685,2004,Sevastopol'
Sumy,6,2,4,3,9,0.243243243243243,0.378378378378378,0.138888888888889,5009,6.275e+09,0.513513513513514,0.483870967741936,0.170491803278689,0.25,0.0357142857142857,1245747,2004,Sumy
Ternopil',2,1,13,4,17,0.09375,0.03125,0.310344827586207,3516,3.948e+09,1,0.139784946236559,0.736111111111111,0.655172413793103,0.142857142857143,1120408,2004,Ternopil'
Transcarpathia,3,0,4,2,8,0.333333333333333,0.82051282051282,0.09375,4238,5.297e+09,0.974358974358974,0.206521739130435,0.413157894736842,0.40625,0.087719298245614,1249088,2004,Transcarpathia
Vinnytsya,2,2,8,8,17,0.515151515151515,0.575757575757576,0.166666666666667,4700,8.123e+09,0.848484848484848,0.309782608695652,0.316939890710383,0.208333333333333,0.213333333333333,1722210,2004,Vinnytsya
Volyn,0,1,2,5,8,0.25,0.125,0.115384615384615,4771,4.994e+09,1,0.245901639344262,0.646924829157175,0.307692307692308,0.105263157894737,1045425,2004,Volyn
Zaporizhzhya,13,7,46,15,63,0.509433962264151,0.39622641509434,0.235294117647059,8093,1.5255e+10,0.113207547169811,0.223684210526316,0.0756756756756757,0.0196078431372549,0.10126582278481,1878965,2004,Zaporizhzhya
Zhytomyr,28,7,48,7,64,0.121951219512195,0.536585365853659,0.0263157894736842,4397,5.947e+09,0.853658536585366,0.0584415584415584,0.24865831842576,0.157894736842105,0.0178571428571429,1347192,2004,Zhytomyr
