Oblast,,ied,aff,alc,any,all_corrupt,econ_bad,air_concern,PerCapitaGDP,GDP,ukr,med_no,our_ukr,rel_veryimp,certainly10
Cherkasy,3,1,13,7,18,0.311111111,0.422222222,0.184210526,4853,6.62E+09,0.911111111,0.359477124,0.285,0.315789474,0.013333333
Chernihiv,1,1,13,7,17,0.363636364,0.409090909,0.055555556,5163,6.18E+09,0.272727273,0.193548387,0.416666667,0.305555556,0
Chernivtsi,6,5,13,7,22,0.372093023,0.418604651,0.32,3589,3.28E+09,0.627906977,0.623655914,0.2825,0.4,0.125
Crimea,10,10,28,15,41,0.384615385,0.358974359,0.096774194,5102.584526,9.90E+09,0,0.355140187,0.065,0.177419355,0.154545455
Dnipropetrovsk,19,5,33,20,61,0.272,0.2,0.255319149,8609,3.00E+10,0.456,0.174757282,0.080831409,0.20212766,0.106951872
Donetsk,8,9,39,25,65,0.620481928,0.469879518,0.340740741,9713,4.56E+10,0.168674699,0.317333333,0.036392405,0.051851852,0.061032864
IvanoFrankivsk,4,10,19,16,40,0.511111111,0.177777778,0.194444444,5238,7.31E+09,0.977777778,0.243902439,0.758812616,0.75,0
Kharkiv,85,9,151,25,193,0.613207547,0.603773585,0.162162162,7182,2.05E+10,0.264150943,0.384892086,0.064672595,0.094594595,0.084615385
Kherson,2,2,3,3,5,0.515151515,0.575757576,0.322580645,4546,5.20E+09,0.212121212,0.225806452,0.10591133,0,0.017857143
Khmelnytskyy,5,4,23,5,29,0.519230769,0.769230769,0.166666667,4549,6.34E+09,0.865384615,0.139344262,0.384133612,0.25,0.090909091
Kiev,17,8,45,18,65,0.551724138,0.586206897,0.244897959,6652,1.19E+10,0.74137931,0.35483871,0.303370787,0.285714286,0.2
KievCity,18,16,42,15,61,0.510869565,0.195652174,0.171875,23130,6.14E+10,0.391304348,0.19047619,0.272138229,0.1875,0.124031008
Kirovohrad,12,6,21,12,36,0.651162791,0.860465116,0.4375,5122,5.59E+09,0.697674419,0.304347826,0.10022779,0.21875,0.035087719
Lviv,11,8,23,12,40,0.35,0.4125,0.3,5396,1.40E+10,0.925,0.123809524,0.643090316,0.642857143,0.099236641
Luhansk,13,6,34,16,49,0.358695652,0.576086957,0.166666667,5973,1.47E+10,0.22826087,0.192307692,0.049067713,0.03030303,0.03539823
Mykolayiv,19,5,10,18,37,0.510638298,0.553191489,0,6424,7.93E+09,0.425531915,0.360655738,0.081794195,0.090909091,0.081632653
Odessa,15,9,23,17,42,0.561643836,0.260273973,0.121212121,7028,1.70E+10,0.301369863,0.229508197,0.07963595,0.196969697,0.053097345
Poltava,4,1,29,3,32,0.296296296,0.203703704,0.090909091,8841,1.40E+10,0.611111111,0.225806452,0.25,0.090909091,0.08
Rivne,3,0,4,4,9,0.52173913,0.673913043,0.166666667,4817,5.60E+09,1,0.087912088,0.497524752,0.4,0.035714286
Sumy,6,2,4,3,9,0.243243243,0.378378378,0.138888889,5009,6.28E+09,0.513513514,0.483870968,0.170491803,0.25,0.035714286
Ternopil,2,1,13,4,17,0.09375,0.03125,0.310344828,3516,3.95E+09,1,0.139784946,0.736111111,0.655172414,0.142857143
Transcarpathia,3,0,4,2,8,0.333333333,0.820512821,0.09375,4238,5.30E+09,0.974358974,0.206521739,0.413157895,0.40625,0.087719298
Vinnytsya,2,2,8,8,17,0.515151515,0.575757576,0.166666667,4700,8.12E+09,0.848484848,0.309782609,0.316939891,0.208333333,0.213333333
Volyn,0,1,2,5,8,0.25,0.125,0.115384615,4771,4.99E+09,1,0.245901639,0.646924829,0.307692308,0.105263158
Zaporizhzhya,13,7,46,15,63,0.509433962,0.396226415,0.235294118,8093,1.53E+10,0.113207547,0.223684211,0.075675676,0.019607843,0.101265823
Zhytomyr,28,7,48,7,64,0.12195122,0.536585366,0.026315789,4397,5.95E+09,0.853658537,0.058441558,0.248658318,0.157894737,0.017857143
Sevastopol,10,10,28,15,41,0.384615385,0.358974359,0.096774194,5102.584526,2.21E+09,0,0.355140187,0.065,0.177419355,0.154545455
