Oblast,SEX,agecat_wmh,population
Cherkasy,0,1,16
Cherkasy,0,2,20
Cherkasy,0,3,25
Cherkasy,0,4,14
Cherkasy,1,1,16
Cherkasy,1,2,9
Cherkasy,1,3,22
Cherkasy,1,4,13
Chernihiv,0,1,9
Chernihiv,0,2,22
Chernihiv,0,3,14
Chernihiv,0,4,9
Chernihiv,1,1,13
Chernihiv,1,2,10
Chernihiv,1,3,9
Chernihiv,1,4,5
Chernivtsi,0,1,16
Chernivtsi,0,2,17
Chernivtsi,0,3,23
Chernivtsi,0,4,38
Chernivtsi,1,1,13
Chernivtsi,1,2,10
Chernivtsi,1,3,9
Chernivtsi,1,4,10
Crimea,0,1,35
Crimea,0,2,42
Crimea,0,3,35
Crimea,0,4,31
Crimea,1,1,22
Crimea,1,2,32
Crimea,1,3,11
Crimea,1,4,19
Dnipropetrovsk,0,1,49
Dnipropetrovsk,0,2,52
Dnipropetrovsk,0,3,52
Dnipropetrovsk,0,4,53
Dnipropetrovsk,1,1,36
Dnipropetrovsk,1,2,31
Dnipropetrovsk,1,3,42
Dnipropetrovsk,1,4,26
Donetsk,0,1,76
Donetsk,0,2,71
Donetsk,0,3,76
Donetsk,0,4,84
Donetsk,1,1,49
Donetsk,1,2,56
Donetsk,1,3,48
Donetsk,1,4,40
IvanoFrankivsk,0,1,24
IvanoFrankivsk,0,2,24
IvanoFrankivsk,0,3,14
IvanoFrankivsk,0,4,13
IvanoFrankivsk,1,1,19
IvanoFrankivsk,1,2,19
IvanoFrankivsk,1,3,13
IvanoFrankivsk,1,4,10
Kharkiv,0,1,33
Kharkiv,0,2,62
Kharkiv,0,3,42
Kharkiv,0,4,66
Kharkiv,1,1,18
Kharkiv,1,2,28
Kharkiv,1,3,22
Kharkiv,1,4,25
Kherson,0,1,15
Kherson,0,2,20
Kherson,0,3,19
Kherson,0,4,22
Kherson,1,1,10
Kherson,1,2,10
Kherson,1,3,10
Kherson,1,4,7
Khmelnytskyy,0,1,26
Khmelnytskyy,0,2,24
Khmelnytskyy,0,3,20
Khmelnytskyy,0,4,19
Khmelnytskyy,1,1,10
Khmelnytskyy,1,2,9
Khmelnytskyy,1,3,18
Khmelnytskyy,1,4,11
Kiev,0,1,24
Kiev,0,2,34
Kiev,0,3,27
Kiev,0,4,22
Kiev,1,1,29
Kiev,1,2,23
Kiev,1,3,15
Kiev,1,4,11
KievCity,0,1,41
KievCity,0,2,34
KievCity,0,3,49
KievCity,0,4,33
KievCity,1,1,38
KievCity,1,2,18
KievCity,1,3,16
KievCity,1,4,18
Kirovohrad,0,1,18
Kirovohrad,0,2,17
Kirovohrad,0,3,18
Kirovohrad,0,4,21
Kirovohrad,1,1,10
Kirovohrad,1,2,8
Kirovohrad,1,3,12
Kirovohrad,1,4,9
Luhansk,0,1,21
Luhansk,0,2,31
Luhansk,0,3,39
Luhansk,0,4,56
Luhansk,1,1,30
Luhansk,1,2,21
Luhansk,1,3,25
Luhansk,1,4,27
Lviv,0,1,45
Lviv,0,2,28
Lviv,0,3,32
Lviv,0,4,33
Lviv,1,1,32
Lviv,1,2,28
Lviv,1,3,27
Lviv,1,4,26
Mykolayiv,0,1,21
Mykolayiv,0,2,28
Mykolayiv,0,3,30
Mykolayiv,0,4,18
Mykolayiv,1,1,11
Mykolayiv,1,2,10
Mykolayiv,1,3,12
Mykolayiv,1,4,6
Odessa,0,1,31
Odessa,0,2,40
Odessa,0,3,38
Odessa,0,4,42
Odessa,1,1,26
Odessa,1,2,19
Odessa,1,3,23
Odessa,1,4,9
Poltava,0,1,19
Poltava,0,2,24
Poltava,0,3,29
Poltava,0,4,32
Poltava,1,1,19
Poltava,1,2,15
Poltava,1,3,9
Poltava,1,4,12
Rivne,0,1,19
Rivne,0,2,17
Rivne,0,3,16
Rivne,0,4,12
Rivne,1,1,14
Rivne,1,2,12
Rivne,1,3,14
Rivne,1,4,9
Sumy,0,1,12
Sumy,0,2,23
Sumy,0,3,24
Sumy,0,4,21
Sumy,1,1,13
Sumy,1,2,15
Sumy,1,3,15
Sumy,1,4,13
Ternopil,0,1,16
Ternopil,0,2,10
Ternopil,0,3,7
Ternopil,0,4,17
Ternopil,1,1,10
Ternopil,1,2,10
Ternopil,1,3,12
Ternopil,1,4,9
Transcarpathia,0,1,15
Transcarpathia,0,2,15
Transcarpathia,0,3,17
Transcarpathia,0,4,20
Transcarpathia,1,1,9
Transcarpathia,1,2,14
Transcarpathia,1,3,11
Transcarpathia,1,4,13
Vinnytsya,0,1,21
Vinnytsya,0,2,22
Vinnytsya,0,3,23
Vinnytsya,0,4,27
Vinnytsya,1,1,21
Vinnytsya,1,2,16
Vinnytsya,1,3,19
Vinnytsya,1,4,10
Volyn,0,1,24
Volyn,0,2,25
Volyn,0,3,19
Volyn,0,4,6
Volyn,1,1,16
Volyn,1,2,11
Volyn,1,3,10
Volyn,1,4,2
Zaporizhzhya,0,1,35
Zaporizhzhya,0,2,27
Zaporizhzhya,0,3,25
Zaporizhzhya,0,4,26
Zaporizhzhya,1,1,18
Zaporizhzhya,1,2,14
Zaporizhzhya,1,3,21
Zaporizhzhya,1,4,16
Zhytomyr,0,1,19
Zhytomyr,0,2,35
Zhytomyr,0,3,18
Zhytomyr,0,4,22
Zhytomyr,1,1,12
Zhytomyr,1,2,13
Zhytomyr,1,3,4
Zhytomyr,1,4,13
