LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
Kharkiv                         1                   1e-017              151                 41.29               3.66                4.40                2850164.00          151                 41.29               3.66                4.40                2850164.00          49.618818           36.444672           F 
Rivne                           2                   0.00000147          6                   31.97               0.19                0.18                2206760.00          4                   16.82               0.24                0.23                1161335.00          51.055490           26.578138           F 
Volyn                           2                   0.00000147          6                   31.97               0.19                0.18                2206760.00          2                   15.15               0.13                0.13                1045425.00          51.200061           24.827734           F 
Zhytomyr                        3                   0.00000436          48                  19.52               2.46                2.57                1347192.00          48                  19.52               2.46                2.57                1347192.00          50.660138           28.410725           F 
Odessa                          4                   0.0000113           78                  129.72              0.60                0.55                8954291.00          23                  35.01               0.66                0.65                2416791.00          47.257638           30.211073           F 
Mykolayiv                       4                   0.0000113           78                  129.72              0.60                0.55                8954291.00          10                  17.83               0.56                0.55                1230944.00          47.388430           31.966877           F 
Kirovohrad                      4                   0.0000113           78                  129.72              0.60                0.55                8954291.00          21                  15.73               1.34                1.35                1085709.00          48.518547           32.251375           F 
Cherkasy                        4                   0.0000113           78                  129.72              0.60                0.55                8954291.00          13                  19.69               0.66                0.65                1359089.00          49.201606           31.282261           F 
Vinnytsya                       4                   0.0000113           78                  129.72              0.60                0.55                8954291.00          8                   24.95               0.32                0.31                1722210.00          49.233793           28.479677           F 
Kherson                         4                   0.0000113           78                  129.72              0.60                0.55                8954291.00          3                   16.51               0.18                0.18                1139548.00          46.666674           33.562914           F 
