LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
Cherkasy                        13                  19.69               0.66                0.65                
Chernihiv                       13                  17.24               0.75                0.75                
Chernivtsi                      13                  13.21               0.98                0.98                
Crimea                          28                  39.88               0.70                0.69                
Dnipropetrovsk                  33                  50.40               0.65                0.64                
Donetsk                         39                  67.76               0.58                0.55                
IvanoFrankivsk                  19                  20.20               0.94                0.94                
Kharkiv                         151                 41.29               3.66                4.40                
Kherson                         3                   16.51               0.18                0.18                
Khmelnytskyy                    23                  20.13               1.14                1.15                
Kiev                            45                  25.80               1.74                1.80                
KievCity                        42                  38.57               1.09                1.09                
Kirovohrad                      21                  15.73               1.34                1.35                
Luhansk                         34                  35.40               0.96                0.96                
Lviv                            23                  37.52               0.61                0.60                
Mykolayiv                       10                  17.83               0.56                0.55                
Odessa                          23                  35.01               0.66                0.65                
Poltava                         29                  22.81               1.27                1.28                
Rivne                           4                   16.82               0.24                0.23                
Sumy                            4                   18.05               0.22                0.22                
Ternopil                        13                  16.23               0.80                0.80                
Transcarpathia                  4                   18.10               0.22                0.22                
Vinnytsya                       8                   24.95               0.32                0.31                
Volyn                           2                   15.15               0.13                0.13                
Zaporizhzhya                    46                  27.22               1.69                1.74                
Zhytomyr                        48                  19.52               2.46                2.57                
