LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
Mykolayiv                       1                   0.0120              30                  14.04               2.14                2.27                2316653.00          18                  7.46                2.41                2.51                1230944.00          47.388430           31.966877           F 
Kirovohrad                      1                   0.0120              30                  14.04               2.14                2.27                2316653.00          12                  6.58                1.82                1.86                1085709.00          48.518547           32.251375           F 
Poltava                         2                   0.110               6                   17.09               0.35                0.34                2820070.00          3                   9.54                0.31                0.31                1574323.00          49.780133           33.851997           F 
Sumy                            2                   0.110               6                   17.09               0.35                0.34                2820070.00          3                   7.55                0.40                0.39                1245747.00          51.049191           34.036543           F 
Rivne                           3                   0.398               45                  62.87               0.72                0.66                10375844.00         4                   7.04                0.57                0.56                1161335.00          51.055490           26.578138           F 
Volyn                           3                   0.398               45                  62.87               0.72                0.66                10375844.00         5                   6.33                0.79                0.79                1045425.00          51.200061           24.827734           F 
Zhytomyr                        3                   0.398               45                  62.87               0.72                0.66                10375844.00         7                   8.16                0.86                0.85                1347192.00          50.660138           28.410725           F 
Khmelnytskyy                    3                   0.398               45                  62.87               0.72                0.66                10375844.00         5                   8.42                0.59                0.59                1389641.00          49.442444           26.988927           F 
Ternopil                        3                   0.398               45                  62.87               0.72                0.66                10375844.00         4                   6.79                0.59                0.58                1120408.00          49.418234           25.621058           F 
Lviv                            3                   0.398               45                  62.87               0.72                0.66                10375844.00         12                  15.69               0.76                0.75                2589633.00          49.841129           24.045140           F 
Vinnytsya                       3                   0.398               45                  62.87               0.72                0.66                10375844.00         8                   10.43               0.77                0.76                1722210.00          49.233793           28.479677           F 
Transcarpathia                  4                   0.563               2                   7.57                0.26                0.26                1249088.00          2                   7.57                0.26                0.26                1249088.00          48.411377           23.291637           F 
IvanoFrankivsk                  5                   0.645               16                  8.45                1.89                1.95                1394332.00          16                  8.45                1.89                1.95                1394332.00          48.769089           24.569663           F 
Kiev                            6                   0.856               18                  10.79               1.67                1.71                1780785.00          18                  10.79               1.67                1.71                1780785.00          49.995278           30.330974           F 
Kharkiv                         7                   0.957               25                  17.27               1.45                1.49                2850164.00          25                  17.27               1.45                1.49                2850164.00          49.618818           36.444672           F 
