LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
Cherkasy                        7                   8.23                0.85                0.85                
Chernihiv                       7                   7.21                0.97                0.97                
Chernivtsi                      7                   5.53                1.27                1.27                
Crimea                          15                  16.68               0.90                0.89                
Dnipropetrovsk                  20                  21.08               0.95                0.94                
Donetsk                         25                  28.34               0.88                0.87                
IvanoFrankivsk                  16                  8.45                1.89                1.95                
Kharkiv                         25                  17.27               1.45                1.49                
Kherson                         3                   6.90                0.43                0.43                
Khmelnytskyy                    5                   8.42                0.59                0.59                
Kiev                            18                  10.79               1.67                1.71                
KievCity                        15                  16.13               0.93                0.93                
Kirovohrad                      12                  6.58                1.82                1.86                
Luhansk                         16                  14.81               1.08                1.09                
Lviv                            12                  15.69               0.76                0.75                
Mykolayiv                       18                  7.46                2.41                2.51                
Odessa                          17                  14.64               1.16                1.17                
Poltava                         3                   9.54                0.31                0.31                
Rivne                           4                   7.04                0.57                0.56                
Sumy                            3                   7.55                0.40                0.39                
Ternopil                        4                   6.79                0.59                0.58                
Transcarpathia                  2                   7.57                0.26                0.26                
Vinnytsya                       8                   10.43               0.77                0.76                
Volyn                           5                   6.33                0.79                0.79                
Zaporizhzhya                    15                  11.38               1.32                1.33                
Zhytomyr                        7                   8.16                0.86                0.85                
