LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
Kharkiv                         1                   1e-017              85                  18.46               4.60                5.97                2850164.00          85                  18.46               4.60                5.97                2850164.00          49.618818           36.444672           F 
IvanoFrankivsk                  2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         4                   9.03                0.44                0.44                1394332.00          48.769089           24.569663           F 
Transcarpathia                  2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         3                   8.09                0.37                0.36                1249088.00          48.411377           23.291637           F 
Ternopil                        2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         2                   7.26                0.28                0.27                1120408.00          49.418234           25.621058           F 
Chernivtsi                      2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         6                   5.91                1.02                1.02                912065.00           48.279644           25.933146           F 
Lviv                            2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         11                  16.78               0.66                0.64                2589633.00          49.841129           24.045140           F 
Khmelnytskyy                    2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         5                   9.00                0.56                0.55                1389641.00          49.442444           26.988927           F 
Volyn                           2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         0                   6.77                0                   0                   1045425.00          51.200061           24.827734           F 
Vinnytsya                       2                   0.000000665         33                  74.00               0.45                0.38                11422802.00         2                   11.16               0.18                0.17                1722210.00          49.233793           28.479677           F 
Zhytomyr                        3                   0.0000232           28                  8.73                3.21                3.43                1347192.00          28                  8.73                3.21                3.43                1347192.00          50.660138           28.410725           F 
Zaporizhzhya                    4                   0.00184             42                  72.39               0.58                0.51                11174599.00         13                  12.17               1.07                1.07                1878965.00          47.255934           35.773186           F 
Dnipropetrovsk                  4                   0.00184             42                  72.39               0.58                0.51                11174599.00         19                  22.54               0.84                0.83                3479157.00          48.459903           35.000339           F 
Donetsk                         4                   0.00184             42                  72.39               0.58                0.51                11174599.00         8                   30.30               0.26                0.24                4676929.00          48.016262           37.774319           F 
Kherson                         4                   0.00184             42                  72.39               0.58                0.51                11174599.00         2                   7.38                0.27                0.27                1139548.00          46.666674           33.562914           F 
Mykolayiv                       5                   0.0210              31                  15.01               2.07                2.18                2316653.00          19                  7.97                2.38                2.47                1230944.00          47.388430           31.966877           F 
Kirovohrad                      5                   0.0210              31                  15.01               2.07                2.18                2316653.00          12                  7.03                1.71                1.73                1085709.00          48.518547           32.251375           F 
Chernihiv                       6                   0.139               1                   7.71                0.13                0.13                1189816.00          1                   7.71                0.13                0.13                1189816.00          51.334116           31.917964           F 
Cherkasy                        7                   0.700               3                   8.80                0.34                0.33                1359089.00          3                   8.80                0.34                0.33                1359089.00          49.201606           31.282261           F 
