LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
Cherkasy                        3                   8.80                0.34                0.33                
Chernihiv                       1                   7.71                0.13                0.13                
Chernivtsi                      6                   5.91                1.02                1.02                
Crimea                          10                  17.83               0.56                0.55                
Dnipropetrovsk                  19                  22.54               0.84                0.83                
Donetsk                         8                   30.30               0.26                0.24                
IvanoFrankivsk                  4                   9.03                0.44                0.44                
Kharkiv                         85                  18.46               4.60                5.97                
Kherson                         2                   7.38                0.27                0.27                
Khmelnytskyy                    5                   9.00                0.56                0.55                
Kiev                            17                  11.54               1.47                1.50                
KievCity                        18                  17.25               1.04                1.05                
Kirovohrad                      12                  7.03                1.71                1.73                
Luhansk                         13                  15.83               0.82                0.81                
Lviv                            11                  16.78               0.66                0.64                
Mykolayiv                       19                  7.97                2.38                2.47                
Odessa                          15                  15.66               0.96                0.96                
Poltava                         4                   10.20               0.39                0.38                
Rivne                           3                   7.52                0.40                0.39                
Sumy                            6                   8.07                0.74                0.74                
Ternopil                        2                   7.26                0.28                0.27                
Transcarpathia                  3                   8.09                0.37                0.36                
Vinnytsya                       2                   11.16               0.18                0.17                
Volyn                           0                   6.77                0                   0                   
Zaporizhzhya                    13                  12.17               1.07                1.07                
Zhytomyr                        28                  8.73                3.21                3.43                
