LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
Cherkasy                        1                   3.85                0.26                0.25                
Chernihiv                       1                   3.37                0.30                0.29                
Chernivtsi                      5                   2.58                1.94                1.97                
Crimea                          10                  7.79                1.28                1.31                
Dnipropetrovsk                  5                   9.85                0.51                0.49                
Donetsk                         9                   13.24               0.68                0.66                
IvanoFrankivsk                  10                  3.95                2.53                2.66                
Kharkiv                         9                   8.07                1.12                1.12                
Kherson                         2                   3.23                0.62                0.61                
Khmelnytskyy                    4                   3.93                1.02                1.02                
Kiev                            8                   5.04                1.59                1.62                
KievCity                        16                  7.53                2.12                2.27                
Kirovohrad                      6                   3.07                1.95                2.00                
Luhansk                         6                   6.92                0.87                0.86                
Lviv                            8                   7.33                1.09                1.10                
Mykolayiv                       5                   3.48                1.44                1.45                
Odessa                          9                   6.84                1.32                1.34                
Poltava                         1                   4.46                0.22                0.22                
Rivne                           0                   3.29                0                   0                   
Sumy                            2                   3.53                0.57                0.56                
Ternopil                        1                   3.17                0.32                0.31                
Transcarpathia                  0                   3.54                0                   0                   
Vinnytsya                       2                   4.87                0.41                0.40                
Volyn                           1                   2.96                0.34                0.33                
Zaporizhzhya                    7                   5.32                1.32                1.33                
Zhytomyr                        7                   3.81                1.84                1.88                
