LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
Kiev                            1                   0.125               24                  12.57               1.91                2.11                4442829.00          8                   5.04                1.59                1.62                1780785.00          49.995278           30.330974           F 
KievCity                        1                   0.125               24                  12.57               1.91                2.11                4442829.00          16                  7.53                2.12                2.27                2662044.00          50.450142           30.551970           F 
Chernivtsi                      2                   0.170               15                  6.53                2.30                2.46                2306397.00          5                   2.58                1.94                1.97                912065.00           48.279644           25.933146           F 
IvanoFrankivsk                  2                   0.170               15                  6.53                2.30                2.46                2306397.00          10                  3.95                2.53                2.66                1394332.00          48.769089           24.569663           F 
Poltava                         3                   0.313               8                   17.83               0.45                0.41                6299227.00          1                   4.46                0.22                0.22                1574323.00          49.780133           33.851997           F 
Sumy                            3                   0.313               8                   17.83               0.45                0.41                6299227.00          2                   3.53                0.57                0.56                1245747.00          51.049191           34.036543           F 
Dnipropetrovsk                  3                   0.313               8                   17.83               0.45                0.41                6299227.00          5                   9.85                0.51                0.49                3479157.00          48.459903           35.000339           F 
Transcarpathia                  4                   0.405               0                   3.54                0                   0                   1249088.00          0                   3.54                0                   0                   1249088.00          48.411377           23.291637           F 
Rivne                           5                   0.443               1                   6.25                0.16                0.15                2206760.00          0                   3.29                0                   0                   1161335.00          51.055490           26.578138           F 
Volyn                           5                   0.443               1                   6.25                0.16                0.15                2206760.00          1                   2.96                0.34                0.33                1045425.00          51.200061           24.827734           F 
Mykolayiv                       6                   0.968               20                  13.40               1.49                1.58                4733444.00          5                   3.48                1.44                1.45                1230944.00          47.388430           31.966877           F 
Kirovohrad                      6                   0.968               20                  13.40               1.49                1.58                4733444.00          6                   3.07                1.95                2.00                1085709.00          48.518547           32.251375           F 
Odessa                          6                   0.968               20                  13.40               1.49                1.58                4733444.00          9                   6.84                1.32                1.34                2416791.00          47.257638           30.211073           F 
Khmelnytskyy                    7                   0.990               7                   11.98               0.58                0.56                4232259.00          4                   3.93                1.02                1.02                1389641.00          49.442444           26.988927           F 
Ternopil                        7                   0.990               7                   11.98               0.58                0.56                4232259.00          1                   3.17                0.32                0.31                1120408.00          49.418234           25.621058           F 
Vinnytsya                       7                   0.990               7                   11.98               0.58                0.56                4232259.00          2                   4.87                0.41                0.40                1722210.00          49.233793           28.479677           F 
