sampleid,current_occupation,lifetime_occupation,SEX,SEXM,SEXF,AGE,agecat_wmh,age18_34,age35_49,age50_64,age65,educ,educat,ed011,ed12,ed1315,ed16,educ_cat,educ_cat4,marcat,marcoh,marswd,marnev,emp,empw,empst,emph,empr,empoth,occ_LT4,occ_cur4,str,secu,finalp1wt,finalp2wt,hhs,hhincome,income_per_capita,income_wmh,income_cat,income_cat1,income_cat2,income_cat3,income_cat4,mother_occ28,father_occ28,father_educ,mother_educ,higherparent_educ,mother_educ4,father_educ4,higherparent_educ4,mother_educ7,father_educ7,higherparent_educ7,mother_occ4,father_occ4,higherparent_occ4,spouse_lifetime_occupation,spouse_lifetime_occ4,str15
270100000100, , ,1,1,0,20,1,1,0,0,0,13,3,0,0,1,0,7,3,3,0,0,1,2,0,1,0,0,0, , ,3,1,1.17754385130144, ,3,12000,4000,2.82485875706215,4,0,0,0,1, , , , , , , , , , , , , , , , ,332
270100000200,0,12,0,0,1,61,3,0,0,1,0,7,1,1,0,0,0,3,1,2,0,1,0,4,0,0,0,1,0,2,0,13,1,.709320534390671,1.97542062736757,2,6000,3000,2.11864406779661,4,0,0,0,1,6,27,0,4,4,1,1,1,2,1,2,4,1,4, , ,342
270100000300, , ,1,1,0,23,1,1,0,0,0,11,1,1,0,0,0,6,2,3,0,0,1,1,1,0,0,0,0, , ,13,1,1.60254953999874, ,3,9600,3200,2.25988700564972,4,0,0,0,1, , , , , , , , , , , , , , , , ,342
270100000400,25,25,0,0,1,21,1,1,0,0,0,11,1,1,0,0,0,6,2,3,0,0,1,1,1,0,0,0,0,1,1,13,1,1.17576666331564,.377302735378529,2,4800,2400,1.69491525423729,3,0,0,1,0,2,2,12,12,12,2,2,2,6,6,6,4,4,4, , ,342
270100000500, , ,1,1,0,72,4,0,0,0,1,3,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0, , ,13,1,.624803540892367, ,3,3120,1040,.734463276836158,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100000600, , ,0,0,1,75,4,0,0,0,1,10,1,1,0,0,0,5,2,2,0,1,0,4,0,0,0,1,0, , ,12,1,.587601497999539,.287947931310291,1,1284,1284,.906779661016949,2,0,1,0,0,0,27, , ,7, , ,1, , ,3,0,1,1, , ,341
270100000700, , ,1,1,0,45,2,0,1,0,0,10,1,1,0,0,0,5,2,2,0,1,0,1,1,0,0,0,0, , ,13,1,1.23904702193867, ,3,2400,800,.564971751412429,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100000800,23,23,0,0,1,40,2,0,1,0,0,10,1,1,0,0,0,5,2,1,1,0,0,1,1,0,0,0,0,2,2,13,2,.914126982350634,.28178004784136,2,6000,3000,2.11864406779661,4,0,0,0,1,25, , ,7,7,1, ,1,3, ,3,1, ,1,24,2,342
270100000900,0,25,0,0,1,65,4,0,0,0,1,3,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0,1,0,13,2,.709320534390671,1.97542062736757,1,1548,1548,1.09322033898305,3,0,0,1,0,26, , , ,4, , ,1, , ,2,1, ,1,24,2,342
270100001000,0,14,0,0,1,21,1,1,0,0,0,12,2,0,1,0,0,6,2,3,0,0,1,5,0,0,0,0,1,2,0,13,1,1.17576666331564,.377302735378529,4,5400,1350,.953389830508475,2,0,1,0,0,15,0,10,14,14,3,2,3,7,5,7,2,0,2, , ,342
270100001100, , ,1,1,0,69,4,0,0,0,1,14,3,0,0,1,0,7,3,1,1,0,0,4,0,0,0,1,0, , ,30,1,.776226516685105, ,2,3120,1560,1.10169491525424,3,0,0,1,0, , , , , , , , , , , , , , , , ,359
270100001200, , ,0,0,1,71,4,0,0,0,1,18,4,0,0,0,1,7,4,2,0,1,0,4,0,0,0,1,0, , ,30,1,.601162325831575, ,1,1536,1536,1.08474576271186,3,0,0,1,0, , , , , , , , , , , , , , , , ,359
270100001300,0,27,0,0,1,77,4,0,0,0,1,10,1,1,0,0,0,5,2,2,0,1,0,4,0,0,0,1,0,1,0,20,1,.933668687522179,.26969486332556,1,1560,1560,1.10169491525424,3,0,0,1,0,26,18,4,4,4,1,1,1,2,2,2,1,2,2, , ,349
270100001400,0,18,1,1,0,55,3,0,0,1,0,10,1,1,0,0,0,5,2,1,1,0,0,5,0,0,0,0,1,2,0,20,1,.989884825570652,.372010026573566,4,6000,1500,1.05932203389831,3,0,0,1,0,26,26,0, ,0, ,1,1, ,1,1,1,1,1,18,2,349
270100001500, , ,1,1,0,22,1,1,0,0,0,12,2,0,1,0,0,6,2,3,0,0,1,1,1,0,0,0,0, , ,20,1,1.27078686283193, ,3,3600,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,349
270100001600, , ,0,0,1,47,2,0,1,0,0,13,3,0,0,1,0,7,3,1,1,0,0,5,0,0,0,0,1, , ,20,1,.764465508856543, ,3,1920,640,.451977401129944,1,1,0,0,0, , , , , , , , , , , , , , , , ,349
270100001700,0,25,0,0,1,51,3,0,0,1,0,9,1,1,0,0,0,4,2,1,1,0,0,5,0,0,0,0,1,1,0,20,1,.754364029739987,.298120494833441,2,0,0,0,1,1,0,0,0,10,28,17,10,17,2,4,4,5,7,7,3,2,3, , ,349
270100001800, , ,0,0,1,61,3,0,0,1,0,10,1,1,0,0,0,5,2,2,0,1,0,4,0,0,0,1,0, , ,30,1,.628180857329623, ,1,1548,1548,1.09322033898305,3,0,0,1,0, , , , , , , , , , , , , , , , ,359
270100001900, , ,1,1,0,63,3,0,0,1,0,15,3,0,0,1,0,7,4,1,1,0,0,4,0,0,0,1,0, , ,13,1,.864389861084177, ,2,3732,1866,1.31779661016949,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100002000, , ,0,0,1,45,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,13,1,.914126982350634, ,2,600,300,.211864406779661,1,1,0,0,0, , , , , , , , , , , , , , , , ,342
270100002100, , ,0,0,1,54,3,0,0,1,0,18,4,0,0,0,1,7,4,1,1,0,0,4,0,0,0,1,0, , ,13,2,.833071387856489, ,3,4200,1400,.988700564971751,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100002200,27,27,1,1,0,51,3,0,0,1,0,12,2,0,1,0,0,6,2,1,1,0,0,4,0,0,0,1,0,1,1,13,2,1.1511531904926,.3725762481855,2,6240,3120,2.20338983050847,4,0,0,0,1,27,12,7,8,8,2,1,2,4,3,4,1,2,2,27,1,342
270100002300, , ,0,0,1,26,1,1,0,0,0,16,4,0,0,0,1,7,4,1,1,0,0,1,1,0,0,0,0, , ,13,2,1.17576666331564, ,4,6000,1500,1.05932203389831,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100002400, , ,1,1,0,24,1,1,0,0,0,11,1,1,0,0,0,6,2,3,0,0,1,1,1,0,0,0,0, , ,13,1,1.60254953999874, ,2,4920,2460,1.73728813559322,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100002500, , ,1,1,0,75,4,0,0,0,1,4,1,1,0,0,0,2,1,2,0,1,0,4,0,0,0,1,0, , ,13,1,.624803540892367, ,2,3060,1530,1.08050847457627,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100002600, , ,0,0,1,75,4,0,0,0,1,8,1,1,0,0,0,4,2,1,1,0,0,4,0,0,0,1,0, , ,13,1,.587601497999539, ,2,360,180,.127118644067797,1,1,0,0,0, , , , , , , , , , , , , , , , ,342
270100002700,0,26,0,0,1,67,4,0,0,0,1,3,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0,1,0,13,2,.709320534390671,.30760758311948,2,4200,2100,1.48305084745763,3,0,0,1,0, , , ,1,1,1, ,1,2, ,2, , ,1,24,2,342
270100002800,0,27,0,0,1,78,4,0,0,0,1,7,1,1,0,0,0,3,1,2,0,1,0,4,0,0,0,1,0,1,0,15,2,.765716679902135,.348396252348065,1,1800,1800,1.27118644067797,3,0,0,1,0,26,27,3,0,3,1,1,1,1,2,2,1,1,1, , ,344
270100002900, , ,1,1,0,67,4,0,0,0,1,6,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0, , ,13,1,.864389861084177, ,2,3120,1560,1.10169491525424,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100003000, , ,0,0,1,53,3,0,0,1,0,15,3,0,0,1,0,7,4,2,0,1,0,1,1,0,0,0,0, , ,12,1,.833071387856489, ,1,4800,4800,3.38983050847458,4,0,0,0,1, , , , , , , , , , , , , , , , ,341
270100003100,26,26,1,1,0,26,1,1,0,0,0,13,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0,1,1,15,2,3.62386053717573,2.45272490544984,6,4800,800,.564971751412429,2,0,1,0,0,27, , ,10,10,2, ,2,5, ,5,1, ,1,0,0,344
270100003200, , ,1,1,0,60,3,0,0,1,0,11,1,1,0,0,0,6,2,2,0,1,0,1,1,0,0,0,0, , ,13,1,.864389861084177, ,1,4800,4800,3.38983050847458,4,0,0,0,1, , , , , , , , , , , , , , , , ,342
270100003300,16,16,1,1,0,36,2,0,1,0,0,15,3,0,0,1,0,7,4,1,1,0,0,1,1,0,0,0,0,2,2,15,2,1.92247243351498,3.27229981762806,5,12000,2400,1.69491525423729,3,0,0,1,0,26,27,8,4,8,1,2,2,2,4,4,1,1,1,0,0,344
270100003400,15,15,1,1,0,47,2,0,1,0,0,13,3,0,0,1,0,7,3,3,0,0,1,1,1,0,0,0,0,2,2,13,2,1.23904702193867,.540836406408438,1,4800,4800,3.38983050847458,4,0,0,0,1,26,12,7,7,7,1,1,1,3,3,3,1,2,2, , ,342
270100003500, , ,0,0,1,59,3,0,0,1,0,7,1,1,0,0,0,3,1,2,0,1,0,4,0,0,0,1,0, , ,15,2,1.3995599315989, ,6,2400,400,.282485875706215,1,1,0,0,0, , , , , , , , , , , , , , , , ,344
270100003600,0,6,0,0,1,84,4,0,0,0,1,10,1,1,0,0,0,5,2,2,0,1,0,4,0,0,0,1,0,4,0,13,2,.587601497999539,.287947931310291,1,1332,1332,.940677966101695,2,0,1,0,0,0, ,4,4,4,1,1,1,2,2,2,0, ,0, , ,342
270100003700, , ,0,0,1,41,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,13,1,.914126982350634, ,4,3840,960,.677966101694915,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100003800, , ,1,1,0,21,1,1,0,0,0,15,3,0,0,1,0,7,4,1,1,0,0,1,1,0,0,0,0, , ,13,1,1.60254953999874, ,3,11400,3800,2.68361581920904,4,0,0,0,1, , , , , , , , , , , , , , , , ,342
270100003900, , ,0,0,1,73,4,0,0,0,1,8,1,1,0,0,0,4,2,1,1,0,0,4,0,0,0,1,0, , ,13,2,.587601497999539, ,2,360,180,.127118644067797,1,1,0,0,0, , , , , , , , , , , , , , , , ,342
270100004000,0,19,1,1,0,47,2,0,1,0,0,11,1,1,0,0,0,6,2,1,1,0,0,4,0,0,0,1,0,2,0,12,1,1.23904702193867,.540836406408438,4,13200,3300,2.33050847457627,4,0,0,0,1,25,27,7,8,8,2,1,2,4,3,4,1,1,1,23,2,341
270100004100,14,14,1,1,0,43,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0,2,2,12,1,1.23904702193867,3.47318938764785,3,4800,1600,1.12994350282486,3,0,0,1,0,13,19,7,10,10,2,1,2,5,3,5,2,2,2,12,2,341
270100004200, , ,1,1,0,18,1,1,0,0,0,12,2,0,1,0,0,6,2,3,0,0,1,2,0,1,0,0,0, , ,13,1,1.60254953999874,2.32375299810173,3,4200,1400,.988700564971751,2,0,1,0,0, ,4,20,13,20,3,4,4,7,7,7, ,4,4, , ,342
270100004300, , ,1,1,0,50,3,0,0,1,0,10,1,1,0,0,0,5,2,1,1,0,0,4,0,0,0,1,0, , ,12,1,1.1511531904926, ,2,7200,3600,2.54237288135593,4,0,0,0,1, , , , , , , , , , , , , , , , ,341
270100004400,19,19,1,1,0,43,2,0,1,0,0,10,1,1,0,0,0,5,2,1,1,0,0,1,1,0,0,0,0,2,2,13,2,1.23904702193867,3.47318938764785,4,9600,2400,1.69491525423729,3,0,0,1,0, ,26,3,8,8,2,1,2,4,2,4, ,1,1,23,2,342
270100004500,0,8,0,0,1,77,4,0,0,0,1,12,2,0,1,0,0,6,2,2,0,1,0,4,0,0,0,1,0,3,0,13,1,.587601497999539,1.84916859769751,2,1656,828,.584745762711864,2,0,1,0,0,25,27,4,2,4,1,1,1,2,2,2,1,1,1, , ,342
270100004600, , ,0,0,1,36,2,0,1,0,0,13,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0, , ,12,1,1.01210412089894, ,3,2280,760,.536723163841808,2,0,1,0,0, , , , , , , , , , , , , , , , ,341
270100004700, , ,1,1,0,73,4,0,0,0,1,4,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0, , ,13,1,.624803540892367, ,2,3000,1500,1.05932203389831,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100004800, , ,0,0,1,51,3,0,0,1,0,11,1,1,0,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,12,1,.833071387856489, ,2,4560,2280,1.61016949152542,3,0,0,1,0, , , , , , , , , , , , , , , , ,341
270100004900, , ,1,1,0,63,3,0,0,1,0,12,2,0,1,0,0,6,2,2,0,1,0,4,0,0,0,1,0, , ,12,1,.864389861084177, ,1,3180,3180,2.24576271186441,4,0,0,0,1, , , , , , , , , , , , , , , , ,341
270100005000,0,27,1,1,0,70,4,0,0,0,1,5,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0,1,0,13,2,.624803540892367,.199701340899764,2,2880,1440,1.01694915254237,3,0,0,1,0,26, , ,1,1,1, ,1,2, ,2,1, ,1,26,1,342
270100005100,25,25,0,0,1,44,2,0,1,0,0,15,3,0,0,1,0,7,4,1,1,0,0,5,0,0,0,0,1,1,1,13,1,.914126982350634,1.80955915729242,3,9600,3200,2.25988700564972,4,0,0,0,1,5,28,15,14,15,3,4,4,7,7,7,4,2,4,19,2,342
270100005200,0,26,0,0,1,78,4,0,0,0,1,2,1,1,0,0,0,2,1,1,1,0,0,4,0,0,0,1,0,1,0,15,2,.765716679902135,.348396252348065,1,2640,2640,1.86440677966102,3,0,0,1,0,14,2, ,0,0,1, ,1,1, ,1,2,4,4,24,2,344
270100005300,0,19,0,0,1,56,3,0,0,1,0,10,1,1,0,0,0,5,2,2,0,1,0,4,0,0,0,1,0,2,0,13,2,.833071387856489,.322526697786315,5,5040,1008,.711864406779661,2,0,1,0,0,26,25,2,2,2,1,1,1,2,2,2,1,1,1, , ,342
270100005400, , ,1,1,0,52,3,0,0,1,0,13,3,0,0,1,0,7,3,1,1,0,0,4,0,0,0,1,0, , ,30,1,1.26276084054036, ,2,2568,1284,.906779661016949,2,0,1,0,0, , , , , , , , , , , , , , , , ,359
270100005500, , ,0,0,1,19,1,1,0,0,0,13,3,0,0,1,0,7,3,3,0,0,1,2,0,1,0,0,0, , ,13,1,1.17576666331564,.377302735378529,5,5400,1080,.76271186440678,2,0,1,0,0,14,27,12,12,12,2,2,2,6,6,6,2,1,2, , ,342
270100005600,2,2,0,0,1,22,1,1,0,0,0,15,3,0,0,1,0,7,4,1,1,0,0,1,1,0,0,0,0,4,4,13,1,1.17576666331564,.377302735378529,4,4800,1200,.847457627118644,2,0,1,0,0,15,27, , ,10, , ,2, , ,5,2,1,2,2,4,342
270100005700, , ,1,1,0,25,1,1,0,0,0,11,1,1,0,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,13,1,1.60254953999874, ,3,7200,2400,1.69491525423729,3,0,0,1,0, , , , , , , , , , , , , , , , ,342
270100005800,0,27,0,0,1,75,4,0,0,0,1,8,1,1,0,0,0,4,2,2,0,1,0,4,0,0,0,1,0,1,0,13,2,.587601497999539,.287947931310291,1,1224,1224,.864406779661017,2,0,1,0,0,0,15,4,1,4,1,1,1,2,2,2,0,2,2, , ,342
270100005900,0,27,1,1,0,80,4,0,0,0,1,7,1,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,0,1,0,13,2,.624803540892367,.199701340899764,2,3624,1812,1.27966101694915,3,0,0,1,0,27,27, , ,7, , ,1, , ,3,1,1,1,24,2,342
270100006000,12,12,0,0,1,38,2,0,1,0,0,13,3,0,0,1,0,7,3,2,0,1,0,1,1,0,0,0,0,2,2,13,2,1.01210412089894,.329150358080664,3,1800,600,.423728813559322,1,1,0,0,0,27,27,7,2,7,1,1,1,2,3,3,1,1,1, , ,342
270100006100,19,19,1,1,0,42,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,1,1,0,0,0,0,2,2,15,2,1.86607990879854,2.29538673066585,5,4200,840,.593220338983051,2,0,1,0,0,14,4,17,8,17,2,4,4,4,7,7,2,4,4,26,1,344
270100006200, , ,0,0,1,36,2,0,1,0,0,12,2,0,1,0,0,6,2,1,1,0,0,5,0,0,0,0,1, , ,13,2,1.01210412089894, ,4,3840,960,.677966101694915,2,0,1,0,0, , , , , , , , , , , , , , , , ,342
270100006300,0,27,0,0,1,74,4,0,0,0,1,4,1,1,0,0,0,2,1,2,0,1,0,4,0,0,0,1,0,1,0,13,1,.587601497999539,1.84916859769751,1,1404,1404,.991525423728814,2,0,1,0,0,25,27,5,3,5,1,1,1,2,2,2,1,1,1, , ,342
270100006400,0,6,0,0,1,76,4,0,0,0,1,14,3,0,0,1,0,7,3,1,1,0,0,4,0,0,0,1,0,4,0,30,1,.601162325831575,1.91696627718676,2,5040,2520,1.77966101694915,3,0,0,1,0,21,21,4,4,4,1,1,1,2,2,2,2,2,2,6,4,359
270100006500,0,25,0,0,1,74,4,0,0,0,1,5,1,1,0,0,0,2,1,2,0,1,0,4,0,0,0,1,0,1,0,30,1,.601162325831575,.298505217206707,1,1800,1800,1.27118644067797,3,0,0,1,0,0,26,0, ,0, ,1,1, ,1,1,0,1,1, , ,359
270100006600,0,18,1,1,0,45,2,0,1,0,0,9,1,1,0,0,0,4,2,2,0,1,0,5,0,0,0,0,1,2,0,30,1,1.41847290364754,.684971887867182,3,1872,624,.440677966101695,1,1,0,0,0,6,24, ,15,15,4, ,4,7, ,7,4,2,4, , ,359
270100006700, , ,1,1,0,70,4,0,0,0,1,10,1,1,0,0,0,5,2,1,1,0,0,4,0,0,0,1,0, , ,30,1,.571248951673021, ,1,3600,3600,2.54237288135593,4,0,0,0,1, , , , , , , , , , , , , , , , ,359
270100006800, , ,0,0,1,74,4,0,0,0,1,8,1,1,0,0,0,4,2,2,0,1,0,4,0,0,0,1,0, , ,30,1,.601162325831575, ,1,1536,1536,1.08474576271186,3,0,0,1,0, , , , , , , , , , , , , , , , ,359
270100006900, , ,0,0,1,57,3,0,0,1,0,14,3,0,0,1,0,7,3,1,1,0,0,4,0,0,0,1,0, , ,20,1,.770841958884077, ,2,2784,1392,.983050847457627,2,0,1,0,0, , , , , , , , , , , , , , , , ,349
270100007000, , ,0,0,1,36,2,0,1,0,0,11,1,1,0,0,0,6,2,1,1,0,0,5,0,0,0,0,1, , ,20,1,.967228338628184, ,3,4200,1400,.988700564971751,2,0,1,0,0, , , , , , , , , , , , , , , , ,349
270100007100, , ,1,1,0,73,4,0,0,0,1,7,1,1,0,0,0,3,1,1,1,0,0,4,0,0,0,1,0, , ,20,1,.886513703303887, ,2,2400,1200,.847457627118644,2,0,1,0,0, , , , , , , , , , , , , , , , ,349
270100007200,0,11,0,0,1,77,4,0,0,0,1,8,1,1,0,0,0,4,2,2,0,1,0,4,0,0,0,1,0,3,0,20,1,1.08737739046531,.385920228468608,1,1056,1056,.745762711864407,2,0,1,0,0,26,18,1,0,1,1,1,1,1,2,2,1,2,2, , ,349
270100007300,0,24,1,1,0,61,3,0,0,1,0,12,2,0,1,0,0,6,2,2,0,1,0,4,0,0,0,1,0,2,0,20,1,1.08440478961658,.406035558682383,1,1152,1152,.813559322033898,2,0,1,0,0,26,19,3,3,3,1,1,1,2,2,2,1,2,2, , ,349
270100007400,0,25,0,0,1,64,3,0,0,1,0,7,1,1,0,0,0,3,1,2,0,1,0,4,0,0,0,1,0,1,0,20,1,.666457110285192,.22490740416994,2,2280,1140,.805084745762712,2,0,1,0,0,26,24,0,3,3,1,1,1,2,1,2,1,2,2, , ,349
270100007500, , ,0,0,1,19,1,1,0,0,0,11,1,1,0,0,0,6,2,1,1,0,0,1,1,0,0,0,0, , ,20,1,1.09624621265661, ,3,4080,1360,.96045197740113,2,0,1,0,0, , , , , , , , , , , , , , , , ,349
270100007600,0,26,0,0,1,89,4,0,0,0,1,0,1,1,0,0,0,1,1,2,0,1,0,4,0,0,0,1,0,1,0,20,1,1.08737739046531,2.47833545618147,3,1680,560,.395480225988701,1,1,0,0,0,16,16,0,0,0,1,1,1,1,1,1,2,2,2, , ,349
270100007700, , ,0,0,1,45,2,0,1,0,0,14,3,0,0,1,0,7,3,1,1,0,0,1,1,0,0,0,0, , ,20,1,.764465508856543, ,2,5640,2820,1.99152542372881,3,0,0,1,0, , , , , , , , , , , , , , , , ,349
270100007800, , ,0,0,1,42,2,0,1,0,0,12,2,0,1,0,0,6,2,3,0,0,1,1,1,0,0,0,0, , ,20,1,.993839550425286, ,3,2400,800,.564971751412429,2,0,1,0,0, , , , , , , , , , , , , , , , ,349
